NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI55,55,8,7,82.39,-32.05,8.32,4.42,1047.8,0.0977,-375.237,3.30832,11,23,6,55
NaI56,56,8,7,82.4,-25.02,21.45,4.39,1045,0.0977,-321.98,3.23513,11,24,6,56
NaI57,57,8,7,82.38,-13.52,30.28,4.44,1044.4,0.0977,-405.945,3.10141,11,25,6,57
NaI58,58,8,7,82.38,1.07,33.13,4.44,1044,0.0977,-409.994,3.26834,11,26,6,58
NaI59,59,8,7,82.43,15.17,29.41,4.4,1043.8,0.0977,-436.04,3.24774,11,27,6,59
NaI60,60,8,7,82.49,26.45,20,4.37,1045.6,0.0977,-397.485,3.61142,11,28,6,60
NaI61,61,8,7,82.44,32.54,6.69,4.41,1045.9,0.0977,-396.879,3.26232,11,29,6,61
NaI62,62,8,7,82.47,31.98,-8.26,4.37,1043.5,0.0977,-317.623,3.16587,15,29,8,77
NaI63,63,8,7,82.42,25.33,-21.39,4.41,1049.4,0.0977,-376.229,3.34566,11,31,6,63
NaI64,64,8,7,82.48,13.69,-30.23,4.38,1042.1,0.0977,-253.248,3.28468,12,0,6,64
NaI65,65,8,7,82.41,-0.88,-33.19,4.43,1050,0.0977,-327.718,3.50699,12,1,6,65
NaI66,66,8,8,74.07,-18.82,-27.76,9.57,1044.5,0.0977,-302.551,3.29076,12,2,6,66
NaI67,67,8,8,74.24,-29.04,-16.93,9.49,1042.2,0.0977,-276.656,3.49714,12,3,6,67
NaI68,68,8,8,74.07,-33.42,-2.54,9.57,1043.9,0.0977,-359.726,3.0845,12,4,6,68
NaI69,69,8,8,73.98,-31.33,12.03,9.64,1042.5,0.0977,-304.631,3.31431,12,5,6,69
NaI70,70,8,8,74.01,-22.77,24.5,9.59,1042.1,0.0977,-302.892,3.33175,12,6,6,70
NaI71,71,8,8,74.12,-10.16,32.05,9.57,1042.6,0.0977,-308.681,3.26212,12,7,6,71
NaI72,72,8,8,74.14,4.97,33.23,9.55,1040.5,0.0977,-375.613,3.30976,15,26,8,74
NaI73,73,8,8,74.08,18.81,27.88,9.59,1044.5,0.0977,-272.149,3.1701,12,9,6,73
NaI74,74,8,8,74.07,28.92,16.81,9.55,1044.1,0.0977,-257.366,3.29152,12,10,6,74
NaI75,75,8,8,74.1,33.4,2.51,9.54,1044.2,0.0977,-319.942,3.40322,12,11,6,75
NaI76,76,8,8,74.01,31.4,-12.16,9.65,1043.5,0.0977,-289.993,3.10196,12,12,6,76
NaI77,77,8,8,74.15,23.1,-24.47,9.56,1043.3,0.0977,-259.188,3.30187,12,13,6,77
NaI78,78,8,8,74.05,10.04,-32,9.59,1042.5,0.0977,-266.601,3.20688,12,14,6,78
NaI79,79,8,8,74.02,-4.88,-33.24,9.62,1046.5,0.0977,-301.406,3.18873,12,15,6,79
NaI80,80,8,9,64.8,-11.76,-29.61,14.99,1042.6,0.0977,-312.054,3.15782,12,16,6,80
NaI81,81,8,9,64.99,-23.51,-21.57,14.88,1041.8,0.0977,-357.112,3.13974,12,17,6,81
NaI82,82,8,9,64.89,-30.56,-9.25,14.96,1043.1,0.0977,-337.049,3.24193,12,18,6,82
NaI83,83,8,9,64.84,-31.39,4.95,14.93,1041.3,0.0977,-367.093,3.41784,12,19,6,83
NaI84,84,8,9,64.73,-25.92,18.22,14.96,1044,0.0977,-369.271,3.13088,12,20,6,84
NaI85,85,8,9,64.9,-15.89,27.73,14.97,1041.7,0.0977,-336.767,2.97141,12,21,6,85
NaI86,86,8,9,65.01,-2.18,31.88,14.89,1039.7,0.0977,-299.569,3.12203,12,22,6,86
NaI87,87,8,9,64.76,11.91,29.55,15.02,1044.3,0.0977,-309.81,3.25081,12,23,6,87
NaI88,88,8,9,64.95,23.45,21.42,14.85,1043.7,0.0977,-386.756,3.17397,12,24,6,88
NaI89,89,8,9,64.87,30.51,9.07,14.93,1043.8,0.0977,-285.07,3.22153,12,25,6,89
NaI90,90,8,9,64.9,31.38,-5.09,14.89,1042.7,0.0977,-343.909,3.25682,12,26,6,90
NaI91,91,8,9,64.78,26.13,-18.11,14.98,1044.6,0.0977,-417.713,3.13999,12,27,6,91
NaI92,92,8,9,64.8,15.73,-27.7,14.99,1042.2,0.0977,-255.242,3.06195,12,28,6,92
NaI93,93,8,9,64.75,1.89,-31.68,14.96,1046.2,0.0977,-345.54,3.28946,12,29,6,93
NaI94,94,8,10,55.56,-16.78,-24.49,20.35,1045.9,0.0977,-394.259,3.28593,12,30,6,94
NaI95,95,8,10,55.46,-25.74,-14.71,20.41,1044.2,0.0977,-345.583,3.23811,12,31,6,95
NaI96,96,8,10,55.55,-29.63,-2.2,20.38,1041.9,0.0977,-429.7,3.32341,13,0,6,96
NaI97,97,8,10,55.44,-27.53,10.95,20.41,1041.7,0.0977,-316.192,3.2211,13,1,6,97
NaI98,98,8,10,55.42,-20.25,21.68,20.45,1041.2,0.0977,-309.837,3.33433,13,2,6,98
NaI99,99,8,10,55.43,-8.62,28.3,20.39,1042.5,0.0977,-380.521,3.36173,13,3,6,99
NaI100,100,8,10,55.56,4.49,29.36,20.36,1041.3,0.0977,-396.671,3.23458,13,4,6,100
NaI101,101,8,10,55.62,16.82,24.55,20.36,1043.7,0.0977,-322.134,3.25037,13,5,6,101
NaI102,102,8,10,55.34,25.65,14.56,20.39,1043.2,0.0977,-364.559,3.17165,13,6,6,102
NaI103,103,8,10,55.64,29.68,2.09,20.34,1042.2,0.0977,-281.873,3.22511,13,7,6,103
NaI104,104,8,10,55.66,27.76,-10.95,20.39,1042.6,0.0977,-331.335,3.16704,13,8,6,104
NaI105,105,8,10,55.51,20.11,-21.81,20.38,1041.2,0.0977,-267.986,3.17097,13,9,6,105
NaI106,106,8,10,55.36,8.51,-28.3,20.42,1046.5,0.0977,-350.472,3.33303,13,10,6,106
NaI107,107,8,10,55.55,-4.51,-29.43,20.43,1042.9,0.0977,-232.476,3.15474,13,11,6,107
NaI108,108,8,11,47.53,-10.63,-26.2,25.89,1042.1,0.0977,-432.908,3.10064,13,12,6,108
NaI109,109,8,11,47.53,-21.01,-18.84,25.84,1045.1,0.0977,-379.808,3.24223,13,13,6,109
NaI110,110,8,11,47.61,-27.12,-8.09,25.83,1046.1,0.0977,-321.982,3.41611,13,14,6,110
NaI111,111,8,11,47.62,-27.98,4.43,25.85,1044.9,0.0977,-268.169,3.48273,13,15,6,111
NaI112,112,8,11,47.51,-23.16,16.28,25.93,1044.9,0.0977,-295.516,3.12476,13,16,8,0
NaI113,113,8,11,47.5,-13.78,24.6,25.84,1041.2,0.0977,-284.414,3.20139,13,17,8,1
NaI114,114,8,11,47.61,-1.62,28.31,25.88,1043.6,0.0977,-385.654,3.17106,13,18,8,2
NaI115,115,8,11,47.5,10.75,26.07,25.84,1044.2,0.0977,-339.381,3.10171,13,19,8,3
NaI116,116,8,11,47.51,21,18.81,25.83,1043.4,0.0977,-247.4,3.13937,13,20,8,4
NaI117,117,8,11,47.55,27.11,7.91,25.83,1043.4,0.0977,-288.583,3.26884,13,21,8,5
NaI118,118,8,11,47.53,27.95,-4.51,25.92,1043.9,0.0977,-303.464,3.21263,13,22,8,6
NaI119,119,8,11,47.5,23.02,-16.27,25.83,1044.9,0.0977,-285.424,3.42228,13,23,8,7
NaI120,120,8,11,47.63,13.77,-24.7,25.8,1045.4,0.0977,-434.879,3.32139,13,24,8,8
NaI121,121,8,11,47.52,1.61,-28.02,25.7,1044.2,0.0977,-332.747,3.24475,13,25,8,9
NaI122,122,8,12,42.93,-19.08,-25.92,34.6,1027.2,0.0977,-471.914,3.4486,13,26,8,10
NaI123,123,8,12,42.14,-26.16,-18.58,35.45,1034.5,0.0977,-373.474,3.55086,13,27,8,11
NaI124,124,8,12,42.5,-26.17,19.01,35.3,1025.6,0.0977,-309.721,3.21138,13,28,8,12
NaI125,125,8,12,42.74,-19.29,25.71,34.78,1036.8,0.0977,-232.185,3.23207,13,29,8,13
NaI126,126,8,12,42.9,19.06,25.82,34.54,1030.1,0.0977,-302.23,3.4476,13,30,8,14
NaI127,127,8,12,42.3,26.07,18.83,35.34,1036,0.0977,-447.651,3.49161,13,31,8,15
NaI128,128,8,12,42.26,26.03,-18.81,35.35,1028.7,0.0977,-333.364,3.42333,14,0,8,16
NaI129,129,8,12,42.64,19.16,-25.65,34.77,1030,0.0977,-382.567,3.46573,14,1,8,17
NaI130,130,8,12,38.28,-4.55,-27.06,34.78,1047.5,0.0977,-349.506,3.31512,14,2,8,18
NaI131,131,8,12,39.26,-12.16,-25.91,35.02,1028.3,0.0977,-378.547,3.48369,14,3,8,19
NaI132,132,8,12,37.95,-18.79,-19.22,34.47,1031.3,0.0977,-307.456,3.24474,14,4,8,20
NaI133,133,8,12,39.98,-25.89,-12.26,34.17,1028.3,0.0977,-354.745,3.336,14,5,8,21
NaI134,134,8,12,38.04,-27.22,-4.25,35.21,1048,0.0977,-319.285,3.24961,14,6,8,22
NaI135,135,8,12,37.88,-27,4.28,35.13,1049.4,0.0977,-343.107,3.34078,14,7,8,23
NaI136,136,8,12,40.01,-25.99,12.28,34.25,1028.3,0.0977,-360.05,3.38472,14,8,8,24
NaI137,137,8,12,38.17,-18.89,19.16,34.23,1032.8,0.0977,-389.77,3.38801,14,9,8,25
NaI138,138,8,12,39.5,-11.92,25.94,34.64,1032.5,0.0977,-274.129,3.40506,14,10,8,26
NaI139,139,8,12,38.24,-4.58,27.1,34.88,1050,0.0977,-364.598,3.38246,14,11,8,27
NaI140,140,8,12,38.39,4.57,27.18,34.79,1049.7,0.0977,-323.544,3.27407,14,12,8,28
NaI141,141,8,12,39.12,11.98,25.82,35.01,1034.1,0.0977,-553.41,5.40018,14,13,8,29
NaI142,142,8,12,38.01,18.86,19.16,34.39,1020.2,0.0977,-421.586,3.36617,14,14,8,30
NaI143,143,8,12,40.02,25.98,12.3,34.23,1034.5,0.0977,-472.093,3.34604,14,15,8,31
NaI144,144,8,12,38.04,27.16,4.23,35.12,1041.9,0.0977,-313.987,3.28431,14,16,8,32
NaI145,145,8,12,37.78,27.09,-4.12,35.34,1041.8,0.0977,-396.878,3.36159,14,17,8,33
NaI146,146,8,12,40.19,26.19,-12.01,34.11,1025.7,0.0977,-369.657,3.42134,14,18,8,34
NaI147,147,8,12,38.21,18.95,-19.21,34.28,1028.2,0.0977,-430.93,3.3761,14,19,8,35
NaI148,148,8,12,39.18,11.87,-25.85,34.91,1026.2,0.0977,-351.721,3.38065,14,20,8,36
NaI149,149,8,12,38.21,4.49,-27.05,34.82,1041.4,0.0977,-418.151,3.27371,14,21,8,37
NaI150,150,8,12,32.89,-4.33,-21.95,34.6,1040.9,0.0977,-324.247,3.19393,14,22,8,38
NaI151,151,8,12,33.61,-12.23,-19.13,34.16,1026.8,0.0977,-424.07,3.14988,14,23,8,39
NaI152,152,8,12,33.44,-19.09,-12.12,34.25,1026.1,0.0977,-393.202,3.31985,14,24,8,40
NaI153,153,8,12,32.92,-21.89,-4.38,34.48,1041.2,0.0977,-348.836,3.32093,14,25,8,41
NaI154,154,8,12,32.86,-21.94,4.44,34.65,1044.1,0.0977,-312.399,3.11639,14,26,8,42
NaI155,155,8,12,33.83,-19.14,12.24,33.9,1024.9,0.0977,-431.714,3.53727,14,27,8,43
NaI156,156,8,12,33.69,-12.19,19.07,33.95,1016.9,0.0977,-359.648,3.16162,14,28,8,44
NaI157,157,8,12,32.92,-4.31,21.81,34.34,1045.7,0.0977,-421.751,3.14715,14,29,8,45
NaI158,158,8,12,32.99,4.38,21.88,34.38,1043.1,0.0977,-485.17,3.16659,14,30,8,46
