NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI55,55,8,7,82.39,-32.05,8.32,4.42,1445.8,0.0977,-338.804,2.94685,11,23,6,55
NaI56,56,8,7,82.4,-25.02,21.45,4.39,1443,0.0977,-322.636,3.22209,11,24,6,56
NaI57,57,8,7,82.38,-13.52,30.28,4.44,1442.4,0.0977,-397.546,3.05208,11,25,6,57
NaI58,58,8,7,82.38,1.07,33.13,4.44,1442,0.0977,-403.284,3.20782,11,26,6,58
NaI59,59,8,7,82.43,15.17,29.41,4.4,1441.8,0.0977,-406.996,3.1158,11,27,6,59
NaI60,60,8,7,82.49,26.45,20,4.37,1443.6,0.0977,-367.346,3.30345,11,28,6,60
NaI61,61,8,7,82.44,32.54,6.69,4.41,1443.9,0.0977,-378.194,3.11467,11,29,6,61
NaI62,62,8,7,82.47,31.98,-8.26,4.37,1441.5,0.0977,-312.274,3.12804,15,29,8,77
NaI63,63,8,7,82.42,25.33,-21.39,4.41,1447.4,0.0977,-399.677,3.37068,11,31,6,63
NaI64,64,8,7,82.48,13.69,-30.23,4.38,1440.1,0.0977,-248.58,3.25492,12,0,6,64
NaI65,65,8,7,82.41,-0.88,-33.19,4.43,1448,0.0977,-321.332,3.46556,12,1,6,65
NaI66,66,8,8,74.07,-18.82,-27.76,9.57,1442.5,0.0977,-295.625,3.24616,12,2,6,66
NaI67,67,8,8,74.24,-29.04,-16.93,9.49,1440.2,0.0977,-190.818,2.62253,12,3,6,67
NaI68,68,8,8,74.07,-33.42,-2.54,9.57,1441.9,0.0977,-364.645,3.12031,12,4,6,68
NaI69,69,8,8,73.98,-31.33,12.03,9.64,1440.5,0.0977,-286.423,3.12059,12,5,6,69
NaI70,70,8,8,74.01,-22.77,24.5,9.59,1440.1,0.0977,-291.224,3.13668,12,6,6,70
NaI71,71,8,8,74.12,-10.16,32.05,9.57,1440.6,0.0977,-312.096,3.2749,12,7,6,71
NaI72,72,8,8,74.14,4.97,33.23,9.55,1438.5,0.0977,-354.789,3.11973,15,26,8,74
NaI73,73,8,8,74.08,18.81,27.88,9.59,1442.5,0.0977,-274.259,3.23361,12,9,6,73
NaI74,74,8,8,74.07,28.92,16.81,9.55,1442.1,0.0977,-257.032,3.27109,12,10,6,74
NaI75,75,8,8,74.1,33.4,2.51,9.54,1442.2,0.0977,-306.475,3.22269,12,11,6,75
NaI76,76,8,8,74.01,31.4,-12.16,9.65,1441.5,0.0977,-295.922,3.18443,12,12,6,76
NaI77,77,8,8,74.15,23.1,-24.47,9.56,1441.3,0.0977,-262.3,3.3,12,13,6,77
